date,north_am_index,north_pm_index,south_am_index,south_pm_index,north_am_raw,north_pm_raw,south_am_raw,south_pm_raw
2026-09-01,2,1,1,1,,,,
2026-09-02,4,1,4,1,,,,
2026-09-03,6,2,1,1,,,,
2026-09-04,4,2,2,2,,,,
2026-09-05,2,1,3,3,,,,
2026-09-06,1,1,10,4,,,,
2026-09-07,1,1,1,1,,,,
2026-09-08,1,1,1,1,,,,
2026-09-09,1,1,1,1,,,,
2026-09-10,1,1,1,1,,,,
2026-09-11,1,1,1,1,,,,
2026-09-12,1,1,1,1,,,,
2026-09-13,1,1,1,1,,,,
2026-09-14,10,10,10,1,,,,
2026-09-15,1,2,1,1,,,,
2026-09-16,1,1,1,1,,,,
2026-09-17,1,1,1,1,,,,
2026-09-18,8,5,10,4,,,,
